species,state,location,pop,fishno,day,month,year,length_cm,folder,picname,cal,photoshop,included
australis,NSW,FORSTER,FO,F1,14,3,2019,21.4,AU,F1_Ha6043,189,N,Y
australis,NSW,FORSTER,FO,F2,14,3,2019,26.7,AU,F2_Ha6044,189,N,Y
australis,NSW,FORSTER,FO,F3,14,3,2019,22,AU,F3_Ha6045,189,N,Y
australis,NSW,FORSTER,FO,F4,14,3,2019,26.1,AU,F4_Ha6046,189,Y,Y
australis,NSW,FORSTER,FO,F5,14,3,2019,25.2,AU,F5_Ha6047,189,N,Y
australis,NSW,FORSTER,FO,F6,14,3,2019,25.6,AU,F6_Ha6048,189,Y,Y
australis,NSW,FORSTER,FO,F7,14,3,2019,22.3,AU,F7_Ha6049,189,N,Y
australis,NSW,FORSTER,FO,F8,14,3,2019,27.6,AU,F8_Ha6050,189,Y,N
australis,NSW,FORSTER,FO,F9,14,3,2019,23.8,AU,F9_Ha6051,189,N,Y
australis,NSW,FORSTER,FO,F10,14,3,2019,20.4,AU,F10_Ha6052,189,N,N
australis,NSW,FORSTER,FO,F11,14,3,2019,22.2,AU,F11_Ha6053,189,N,Y
australis,NSW,FORSTER,FO,F12,14,3,2019,21.6,AU,F12_Ha6054,189,N,Y
australis,NSW,FORSTER,FO,F13,14,3,2019,21.5,AU,F13_Ha6055,189,Y,Y
australis,NSW,FORSTER,FO,F14,14,3,2019,27.6,AU,F14_Ha6056,189,N,Y
australis,NSW,FORSTER,FO,F15,14,3,2019,21.2,AU,F15_Ha6057,189,Y,Y
australis,NSW,FORSTER,FO,F16,14,3,2019,21.7,AU,F16_Ha6058,189,N,Y
australis,NSW,FORSTER,FO,F17,14,3,2019,22,AU,F17_Ha6059,189,Y,Y
australis,NSW,FORSTER,FO,F18,14,3,2019,20.6,AU,F18_Ha6060,189,Y,N
australis,NSW,FORSTER,FO,F19,14,3,2019,19.9,AU,F19_Ha6061,189,N,Y
australis,NSW,FORSTER,FO,F20,14,3,2019,25.2,AU,F20_Ha6062,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG1,4,4,2019,24.4,AU,TG1_Ha6163,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG2,4,4,2019,25.5,AU,TG2_Ha6164,189,N,N
australis,NSW,TEA GARDENS,TG,TG3,4,4,2019,25,AU,TG3_Ha6165,189,N,Y
australis,NSW,TEA GARDENS,TG,TG4,4,4,2019,26.4,AU,TG4_Ha6166,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG5,4,4,2019,27.4,AU,TG5_Ha6167,189,N,Y
australis,NSW,TEA GARDENS,TG,TG6,4,4,2019,26.6,AU,TG6_Ha6168,189,N,Y
australis,NSW,TEA GARDENS,TG,TG7,4,4,2019,27.2,AU,TG7_Ha6169,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG8,4,4,2019,25.5,AU,TG8_Ha6170,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG9,4,4,2019,26.3,AU,TG9_Ha6171,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG10,4,4,2019,29.4,AU,TG10_Ha6172,189,N,Y
NA,NSW,TEA GARDENS,TG,TG11,4,4,2019,24.5,AU,TG11_Ha6173,189,N,Y
australis,NSW,TEA GARDENS,TG,TG12,4,4,2019,24.6,AU,TG12_Ha6174,189,N,Y
australis,NSW,TEA GARDENS,TG,TG13,4,4,2019,26.1,AU,TG13_Ha6175,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG14,4,4,2019,23.5,AU,TG14_Ha6176,189,N,Y
australis,NSW,TEA GARDENS,TG,TG15,4,4,2019,24.5,AU,TG15_Ha6177,189,N,Y
australis,NSW,TEA GARDENS,TG,TG16,4,4,2019,26.4,AU,TG16_Ha6178,189,N,Y
australis,NSW,TEA GARDENS,TG,TG17,4,4,2019,27.1,AU,TG17_Ha6179,189,Y,N
melanochir,NSW,TEA GARDENS,TG,TG18,4,4,2019,23.8,AU,TG18_Ha6180,189,Y,Y
australis,NSW,TEA GARDENS,TG,TG19,4,4,2019,26.9,AU,TG19_Ha6181,189,N,Y
australis,NSW,TEA GARDENS,TG,TG20,4,4,2019,27.5,AU,TG20_Ha6182,189,N,Y
australis,NSW,NELSON BAY,NB,NB1,21,3,2019,32.7,AU,NB1_Ha6083,189,N,Y
australis,NSW,NELSON BAY,NB,NB2,21,3,2019,25,AU,NB2_Ha6085,189,N,Y
australis,NSW,NELSON BAY,NB,NB3,21,3,2019,26.7,AU,NB3_Ha6091,189,N,Y
australis,NSW,NELSON BAY,NB,NB4,21,3,2019,20.9,AU,NB4_Ha6092,189,N,Y
australis,NSW,NELSON BAY,NB,NB5,21,3,2019,23.5,AU,NB5_Ha6095,189,N,Y
australis,NSW,NELSON BAY,NB,NB6,21,3,2019,29.8,AU,NB6_Ha6096,189,N,Y
australis,NSW,NELSON BAY,NB,NB7,21,3,2019,26.4,AU,NB7_Ha6097,189,N,Y
australis,NSW,NELSON BAY,NB,NB8,21,3,2019,27.3,AU,NB8_Ha6098,189,N,Y
australis,NSW,NELSON BAY,NB,NB9,21,3,2019,25.4,AU,NB9_Ha6099,189,N,Y
australis,NSW,NELSON BAY,NB,NB10,28,3,2019,25.6,AU,NB10_Ha6102,189,N,Y
australis,NSW,NELSON BAY,NB,NB11,28,3,2019,26.2,AU,NB11_Ha6123,189,N,Y
australis,NSW,NELSON BAY,NB,NB12,28,3,2019,26.6,AU,NB12_Ha6125,189,N,Y
australis,NSW,NELSON BAY,NB,NB13,28,3,2019,23.5,AU,NB13_Ha6131,189,N,Y
australis,NSW,NELSON BAY,NB,NB14,28,3,2019,22.3,AU,NB14_Ha6132,189,Y,Y
australis,NSW,NELSON BAY,NB,NB15,28,3,2019,21,AU,NB15_Ha6133,189,N,Y
australis,NSW,NELSON BAY,NB,NB16,28,3,2019,24.2,AU,NB16_Ha6134,189,N,Y
australis,NSW,NELSON BAY,NB,NB17,28,3,2019,25,AU,NB17_Ha6135,189,N,Y
australis,NSW,NELSON BAY,NB,NB18,28,3,2019,21.9,AU,NB18_Ha6138,189,Y,Y
australis,NSW,NELSON BAY,NB,NB19,28,3,2019,23,AU,NB19_Ha6140,189,N,Y
australis,NSW,NELSON BAY,NB,NB20,28,3,2019,22.6,AU,NB20_Ha6141,189,N,Y
australis,NSW,NELSON BAY,NB,NB21,4,4,2019,28.2,AU,NB21_Ha6144,189,N,Y
australis,NSW,NELSON BAY,NB,NB22,4,4,2019,20.2,AU,NB22_Ha6146,189,Y,Y
australis,NSW,NELSON BAY,NB,NB23,4,4,2019,23.3,AU,NB23_Ha6152,189,N,Y
australis,NSW,NELSON BAY,NB,NB24,4,4,2019,25.5,AU,NB24_Ha6153,189,N,Y
australis,NSW,NELSON BAY,NB,NB25,4,4,2019,22.5,AU,NB25_Ha6154,189,N,Y
australis,NSW,NELSON BAY,NB,NB26,4,4,2019,23.4,AU,NB26_Ha6155,189,N,Y
australis,NSW,NELSON BAY,NB,NB27,4,4,2019,21,AU,NB27_Ha6156,189,N,Y
australis,NSW,NELSON BAY,NB,NB28,4,4,2019,24,AU,NB28_Ha6157,189,N,Y
australis,NSW,NELSON BAY,NB,NB29,4,4,2019,24.6,AU,NB29_Ha6158,189,N,Y
australis,NSW,NELSON BAY,NB,NB30,4,4,2019,20.3,AU,NB30_Ha6161,189,Y,Y
australis,NSW,SYDNEY,SY,S1,30,4,2019,29.1,AU,S1_Ha6203,189,N,N
australis,NSW,SYDNEY,SY,S2,30,4,2019,24.4,AU,S2_Ha6204,189,Y,Y
australis,NSW,SYDNEY,SY,S3,30,4,2019,27.7,AU,S3_Ha6205,189,Y,Y
australis,NSW,SYDNEY,SY,S4,30,4,2019,25.8,AU,S4_Ha6206,189,N,Y
australis,NSW,SYDNEY,SY,S5,30,4,2019,22.9,AU,S5_Ha6207,189,N,Y
australis,NSW,SYDNEY,SY,S6,30,4,2019,23.4,AU,S6_Ha6208,189,N,Y
australis,NSW,SYDNEY,SY,S7,30,4,2019,25.6,AU,S7_Ha6209,189,N,Y
NA,NSW,SYDNEY,SY,S9,30,4,2019,27.6,AU,S9_Ha6211,189,N,Y
australis,NSW,SYDNEY,SY,S10,30,4,2019,27,AU,S10_Ha6212,189,Y,Y
australis,NSW,SYDNEY,SY,S11,30,4,2019,27.4,AU,S11_Ha6213,189,N,Y
australis,NSW,SYDNEY,SY,S12,30,4,2019,29.3,AU,S12_Ha6214,189,Y,N
australis,NSW,SYDNEY,SY,S13,30,4,2019,27,AU,S13_Ha6215,189,Y,Y
australis,NSW,SYDNEY,SY,S14,30,4,2019,26.5,AU,S14_Ha6216,189,Y,N
australis,NSW,SYDNEY,SY,S15,30,4,2019,22.2,AU,S15_Ha6217,189,Y,Y
australis,NSW,SYDNEY,SY,S16,30,4,2019,21.6,AU,S16_Ha6218,189,Y,Y
australis,NSW,SYDNEY,SY,S17,30,4,2019,27.3,AU,S17_Ha6219,189,Y,Y
australis,NSW,SYDNEY,SY,S18,30,4,2019,27.5,AU,S18_Ha6220,189,Y,Y
australis,NSW,SYDNEY,SY,S19,30,4,2019,36,AU,S19_Ha6221,189,N,Y
australis,NSW,SYDNEY,SY,S20,30,4,2019,25.4,AU,S20_Ha6222,189,Y,Y
australis,NSW,WOLLONGONG,WO,W1,24,1,2019,26.8,AU,W1_Ha5874,189,N,Y
australis,NSW,WOLLONGONG,WO,W2,24,1,2019,20.5,AU,W2_Ha5875,189,N,Y
australis,NSW,WOLLONGONG,WO,W3,24,1,2019,28.6,AU,W3_Ha5876,189,Y,Y
australis,NSW,WOLLONGONG,WO,W4,24,1,2019,28.2,AU,W4_Ha5877,189,N,Y
australis,NSW,WOOLONGONG,WO,W5,24,1,2019,21.6,AU,W5_Ha5879,189,N,Y
australis,NSW,WOLLONGONG,WO,W6,24,1,2019,30,AU,W6_Ha5880,189,N,Y
australis,NSW,WOLLONGONG,WO,W7,24,1,2019,25,AU,W7_Ha5885,189,N,Y
australis,NSW,WOLLONGONG,WO,W8,24,1,2019,23.6,AU,W8_Ha5886,189,N,Y
australis,NSW,WOLLONGONG,WO,W9,24,1,2019,22.1,AU,W9_Ha5888,189,Y,Y
australis,NSW,WOLLONGONG,WO,W10,24,1,2019,23.5,AU,W10_Ha5889,189,Y,Y
australis,NSW,WOLLONGONG,WO,W11,12,2,2019,20.6,AU,W11_Ha5934,189,N,Y
australis,NSW,WOLLONGONG,WO,W12,12,2,2019,23.2,AU,W12_Ha5935,189,Y,Y
australis,NSW,WOLLONGONG,WO,W13,12,2,2019,24.9,AU,W13_Ha5939,189,N,Y
australis,NSW,WOLLONGONG,WO,W14,12,2,2019,24.8,AU,W14_Ha5940,189,N,Y
australis,NSW,WOLLONGONG,WO,W15,12,2,2019,28.3,AU,W15_Ha5941,189,Y,N
australis,NSW,WOLLONGONG,WO,W16,12,2,2019,25.2,AU,W16_Ha5943,189,N,Y
australis,NSW,WOLLONGONG,WO,W17,12,2,2019,27.2,AU,W17_Ha5945,189,N,Y
australis,NSW,WOLLONGONG,WO,W18,12,2,2019,26.6,AU,W18_Ha5947,189,N,Y
australis,NSW,WOLLONGONG,WO,W19,12,2,2019,27.4,AU,W19_Ha5948,189,Y,Y
australis,NSW,WOLLONGONG,WO,W20,12,2,2019,28,AU,W20_Ha5949,189,N,Y
australis,NSW,WOLLONGONG,WO,W21,14,3,2019,27.8,AU,W21_Ha6063,189,N,Y
australis,NSW,WOLLONGONG,WO,W22,14,3,2019,23.5,AU,W22_Ha6066,189,N,Y
australis,NSW,WOLLONGONG,WO,W23,14,3,2019,27.6,AU,W23_Ha6067,189,N,Y
australis,NSW,WOLLONGONG,WO,W24,14,3,2019,25.2,AU,W24_Ha6068,189,N,Y
australis,NSW,WOLLONGONG,WO,W25,14,3,2019,24.5,AU,W25_Ha6072,189,N,Y
australis,NSW,WOLLONGONG,WO,W26,14,3,2019,27,AU,W26_Ha6074,189,N,Y
australis,NSW,WOLLONGONG,WO,W27,14,3,2019,26.5,AU,W27_Ha6075,189,N,Y
australis,NSW,WOLLONGONG,WO,W28,14,3,2019,24.2,AU,W28_Ha6077,189,Y,Y
australis,NSW,WOLLONGONG,WO,W29,14,3,2019,27.7,AU,W29_Ha6078,189,N,Y
australis,NSW,WOLLONGONG,WO,W30,14,3,2019,32.1,AU,W30_Ha6082,189,N,N
australis,NSW,KIAMA,KI,K1,15,1,2019,27.2,AU,K1_Ha5811,189,Y,Y
australis,NSW,KIAMA,KI,K2,15,1,2019,28.7,AU,K2_Ha5814,189,N,Y
australis,NSW,KIAMA,KI,K3,15,1,2019,20,AU,K3_Ha5819,189,N,Y
australis,NSW,KIAMA,KI,K4,15,1,2019,25.2,AU,K4_Ha5820,189,N,Y
australis,NSW,KIAMA,KI,K5,15,1,2019,23.1,AU,K5_Ha5822,189,N,Y
australis,NSW,KIAMA,KI,K6,15,1,2019,26.4,AU,K6_Ha5825,189,N,Y
melanochir,NSW,KIAMA,KI,K7,15,1,2019,19.9,AU,K7_Ha5826,189,N,Y
australis,NSW,KIAMA,KI,K8,15,1,2019,20.1,AU,K8_Ha5827,189,N,Y
australis,NSW,KIAMA,KI,K9,16,1,2019,21.2,AU,K9_Ha5828,189,N,Y
australis,NSW,KIAMA,KI,K10,15,1,2019,26.6,AU,K10_Ha5830,189,N,Y
australis,NSW,KIAMA,KI,K11,29,1,2019,32.1,AU,K11_Ha5891,189,N,Y
australis,NSW,KIAMA,KI,K12,29,1,2019,26.3,AU,K12_Ha5894,189,N,Y
australis,NSW,KIAMA,KI,K13,29,1,2019,26,AU,K13_Ha5895,189,N,Y
australis,NSW,KIAMA,KI,K14,29,1,2019,23.6,AU,K14_Ha5896,189,N,Y
australis,NSW,KIAMA,KI,K15,29,1,2019,24.6,AU,K15_Ha5899,189,N,Y
australis,NSW,KIAMA,KI,K16,29,1,2019,27.2,AU,K16_Ha5900,189,N,Y
australis,NSW,KIAMA,KI,K17,29,1,2019,26.2,AU,K17_Ha5903,189,N,Y
australis,NSW,KIAMA,KI,K18,29,1,2019,25.1,AU,K18_Ha5904,189,Y,Y
australis,NSW,KIAMA,KI,K19,29,1,2019,25.7,AU,K19_Ha5905,189,N,Y
australis,NSW,KIAMA,KI,K20,29,1,2019,24.5,AU,K20_Ha5906,189,N,Y
australis,NSW,KIAMA,KI,K21,28,2,2019,28.3,AU,K21_Ha6030,189,Y,Y
australis,NSW,KIAMA,KI,K22,28,2,2019,27.4,AU,K22_Ha6031,189,N,Y
australis,NSW,KIAMA,KI,K23,28,2,2019,29.9,AU,K23_Ha6032,189,N,Y
australis,NSW,KIAMA,KI,K24,28,2,2019,25.7,AU,K24_Ha6033,189,N,Y
australis,NSW,KIAMA,KI,K25,28,2,2019,31.5,AU,K25_Ha6034,189,N,Y
australis,NSW,KIAMA,KI,K26,28,2,2019,28,AU,K26_Ha6035,189,N,Y
australis,NSW,KIAMA,KI,K27,28,2,2019,26.5,AU,K27_Ha6036,189,N,Y
